name_,name_category,name_category_url,name_level,name_serves,name_pretime,name_img,name_description,name_ingredients,name_howtodo,name_tag1,name_tag2,name_tag3
"Smoky orange, roasted tomato and olive pappardelle",Quick pasta recipes,https://www.deliciousmagazine.co.uk/collections/quick-pasta-recipes/,Easy,Serves 4,Hands-on time 30 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/06/vegan-pasta-768x960.jpg,"This vibrant, zesty pasta dish is a little unusual in its flavour combination. But as the orange, smoked paprika and maple syrup cook in the oven, they become sticky and sweet, adding to the intensity of the tomato sauce.","8 ripe tomatoes, roughly chopped
1 orange, cut into 6 wedges
1 tbsp light olive oil
¼ tsp sweet smoked paprika
4 garlic cloves, thinly sliced
2 tsp maple syrup
300g egg-free pappardelle or other dried pasta
150g pitted green olives, roughly chopped
2 large handfuls mixed herbs or rocket, roughly chopped
50g mixed seeds or roughly chopped nuts (such as almonds, hazelnuts or pine nuts)
2 tbsp extra-virgin olive oil","8 ripe tomatoes, roughly chopped
1 orange, cut into 6 wedges
1 tbsp light olive oil
¼ tsp sweet smoked paprika
4 garlic cloves, thinly sliced
2 tsp maple syrup
300g egg-free pappardelle or other dried pasta
150g pitted green olives, roughly chopped
2 large handfuls mixed herbs or rocket, roughly chopped
50g mixed seeds or roughly chopped nuts (such as almonds, hazelnuts or pine nuts)
2 tbsp extra-virgin olive oil",Dairy-free recipes,Vegan recipes,
Satay french toast with avocado,Brunch recipes,https://www.deliciousmagazine.co.uk/collections/brunch-recipes/,Easy,Serves 2,Hands-on time 20 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/05/french-toast-768x960.jpg,"A classic brunch dish gets an update with an indulgent nutty makeover. Try our savoury french toast, made with deep roast peanut butter and topped with avocado, for a vegan breakfast of dreams.","2 tbsp milled flaxseeds
200ml light coconut milk
3 tbsp crunchy peanut butter (we used Manilife Deep Roast from hollandandbarrett.com)
1-2 garlic cloves, crushed
2cm piece fresh ginger, grated
4 slices sourdough bread
Vegetable oil to grease
1 ripe avocado, sliced
Thinly pared zest and juice 1 lime
Handful salad herbs (we used Growing Underground Asian micro herbs from M&S and Ocado)
½ red chilli, sliced (optional)","2 tbsp milled flaxseeds
200ml light coconut milk
3 tbsp crunchy peanut butter (we used Manilife Deep Roast from hollandandbarrett.com)
1-2 garlic cloves, crushed
2cm piece fresh ginger, grated
4 slices sourdough bread
Vegetable oil to grease
1 ripe avocado, sliced
Thinly pared zest and juice 1 lime
Handful salad herbs (we used Growing Underground Asian micro herbs from M&S and Ocado)
½ red chilli, sliced (optional)",Vegan recipes,,
"Aubergine, tomato and chickpea traybake",Traybake recipes,https://www.deliciousmagazine.co.uk/collections/tray-bake-recipes/,Easy,Serves 4,"Hands-on time 15 min, oven time 1 hour 10 min, plus cooling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/05/aubergine-and-chickpea-traybake-768x960.jpg,Elly Pear__ aubergine and chickpea traybake is one of her favourite recipes from her vegetarian cookbook Green.,"3 tbsp olive oil
2 medium aubergines, cut into 2cm cubes
3 tbsp rose harissa (I like Belazu), diluted with 1 tbsp water _ see tips
300g cherry tomatoes
400g tin chickpeas, drained and rinsed (see tips)
Finely grated zest 1 lemon
3 tbsp tahini, thinned with warm water to create a dressing the consistency of single cream
Small handful fresh mint leaves (see tips)
Flatbreads or pitta breads to serve","3 tbsp olive oil
2 medium aubergines, cut into 2cm cubes
3 tbsp rose harissa (I like Belazu), diluted with 1 tbsp water _ see tips
300g cherry tomatoes
400g tin chickpeas, drained and rinsed (see tips)
Finely grated zest 1 lemon
3 tbsp tahini, thinned with warm water to create a dressing the consistency of single cream
Small handful fresh mint leaves (see tips)
Flatbreads or pitta breads to serve",Dairy-free recipes,Vegan recipes,
Perfect roast potatoes for Christmas,"Christmas trimmings, sides and sauces",https://www.deliciousmagazine.co.uk/collections/christmas-trimmings-sides-sauces/,Easy,Serves 8,"Hands-on time 20 min, oven time 45-55 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/05/perfect-roast-potatoes-768x960.jpg,Searching for perfect roast potatoes for Christmas Day? Look no further. You__l find the fluffiest potatoes with the crispiest edges right here.,"75ml vegetable oil (we used Essential Waitrose Vegetable Oil]
2kg floury potatoes (we recommend maris piper)","75ml vegetable oil (we used Essential Waitrose Vegetable Oil]
2kg floury potatoes (we recommend maris piper)",Vegan recipes,Vegetarian recipes,
Homemade rye crackers,Snacks and nibbles,https://www.deliciousmagazine.co.uk/collections/snacks-and-nibbles/,Easy,Makes 10 large crackers,"Hands-on time 15 min, oven time 20 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/05/homemade-rye-crackers-768x960.jpg,"The perfect accompaniment to a cheeseboard, these easy-to-make rye crackers can be scaled up in batches to serve as many as needed.","150g rye flour
150g plain flour, plus extra for dusting
1 tsp sea salt
4 tbsp olive oil, plus extra to brush
3 tbsp mixed seeds (such as coriander, fennel and sesame)
You__l also need_
2 baking sheets lined with non-stick baking paper","150g rye flour
150g plain flour, plus extra for dusting
1 tsp sea salt
4 tbsp olive oil, plus extra to brush
3 tbsp mixed seeds (such as coriander, fennel and sesame)
You__l also need_
2 baking sheets lined with non-stick baking paper",Vegan recipes,,
Bounty parfait cheesecake,Cheesecake recipes,https://www.deliciousmagazine.co.uk/collections/cheesecake-recipes/,Easy,Serves 8-10,"Hands-on time 30 min, plus setting and overnight freezing",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/05/vegan-bounty-cheesecake-768x960.jpg,"Try our vegan cheesecake recipe for your dinner party dessert. It__ made with a coconut biscuit base, a layer of coconut cream topping then smothered in dark chocolate.","25g toasted coconut flakes (from large supermarkets and health food shops)
2 tbsp cocoa powder
125g vegan biscuits (we used Doves Farm Organic Wholemeal Digestive Biscuits)
4 tbsp coconut oil, melted
400ml tin coconut milk
160ml tin coconut cream
1 tbsp vanilla bean paste
1 tsp maple syrup
75g desiccated coconut
For the topping
150g dark chocolate, roughly chopped (if you__e vegan, check the label to make sure the chocolate is vegan)
1 tsp vanilla bean extract
1 tbsp maple syrup
2-3 tbsp boiling water
Small handful toasted coconut flakes to decorate
You__l also need_
900g loaf tin, double-lined with cling film _ leave plenty of excess overhanging the edges","25g toasted coconut flakes (from large supermarkets and health food shops)
2 tbsp cocoa powder
125g vegan biscuits (we used Doves Farm Organic Wholemeal Digestive Biscuits)
4 tbsp coconut oil, melted
400ml tin coconut milk
160ml tin coconut cream
1 tbsp vanilla bean paste
1 tsp maple syrup
75g desiccated coconut
For the topping
150g dark chocolate, roughly chopped (if you__e vegan, check the label to make sure the chocolate is vegan)
1 tsp vanilla bean extract
1 tbsp maple syrup
2-3 tbsp boiling water
Small handful toasted coconut flakes to decorate
You__l also need_
900g loaf tin, double-lined with cling film _ leave plenty of excess overhanging the edges",Freezable,Vegan recipes,
Vegan katsu curry,Vegetarian curry recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-curry-recipes/,Medium,Serves 2,Hands-on time 40 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/04/katsu-curry-768x960.jpg,Behold _ the vegan katsu curry. We__e given this popular Japanese dish a plant-based twist by swapping breadcrumbed chicken for tofu instead. It__ the perfect meat-free midweek treat.,"280g block extra-firm tofu (we used The Tofoo Co Naked Tofu, from larger supermarkets)
1 tbsp soy sauce
50g panko breadcrumbs (check the label to ensure they__e vegan)
2 tbsp cornflour
Vegetable or sunflower oil to fry
Steamed rice, salad leaves and sushi ginger (from large supermarkets) to serve
For the katsu sauce
Drizzle vegetable oil
½ onion, chopped
1 garlic clove, crushed
½ carrot, grated
½ small granny smith apple, peeled and grated
½ tbsp medium curry powder
1 tsp soy sauce
½ tbsp miso paste","280g block extra-firm tofu (we used The Tofoo Co Naked Tofu, from larger supermarkets)
1 tbsp soy sauce
50g panko breadcrumbs (check the label to ensure they__e vegan)
2 tbsp cornflour
Vegetable or sunflower oil to fry
Steamed rice, salad leaves and sushi ginger (from large supermarkets) to serve
For the katsu sauce
Drizzle vegetable oil
½ onion, chopped
1 garlic clove, crushed
½ carrot, grated
½ small granny smith apple, peeled and grated
½ tbsp medium curry powder
1 tsp soy sauce
½ tbsp miso paste",Dairy-free recipes,Vegan recipes,
Masala cauliflower potatoes,Vegetarian curry recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-curry-recipes/,Easy,Serves 4,"Hands-on time 25 min, simmering time 20-30 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/03/cauliflower-potatoes-768x960.jpg,Chetna Makan__ masala cauliflower potatoes make a wonderful veggie side or main as part of a big curry-night feast.,"1 tbsp sunflower oil
1 tsp black or yellow mustard seeds
1 tsp cumin seeds
1 large onion, roughly chopped
2 garlic cloves, finely chopped
1cm piece fresh ginger, peeled and finely chopped
1 small green chilli, finely chopped
2 plum tomatoes from a tin, roughly chopped
1 tsp salt
1 tsp garam masala
1 tsp ground turmeric
½ tsp chilli powder
200g frozen peas
1 large cauliflower, cut into small florets
1 large potato, cut into 2.5cm chunks
Handful fresh coriander leaves, finely chopped, to garnish","1 tbsp sunflower oil
1 tsp black or yellow mustard seeds
1 tsp cumin seeds
1 large onion, roughly chopped
2 garlic cloves, finely chopped
1cm piece fresh ginger, peeled and finely chopped
1 small green chilli, finely chopped
2 plum tomatoes from a tin, roughly chopped
1 tsp salt
1 tsp garam masala
1 tsp ground turmeric
½ tsp chilli powder
200g frozen peas
1 large cauliflower, cut into small florets
1 large potato, cut into 2.5cm chunks
Handful fresh coriander leaves, finely chopped, to garnish",Dairy-free recipes,Vegan recipes,
Roast purple sprouting broccoli with smashed white beans,Vegetarian starter recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-starter-recipes/,Easy,Serves 4,"Hands-on time 15 min, simmering time 15-20 min, oven time 45-50 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/03/Roast-purple-sprouted-broccoli-768x960.jpg,"Gill Meller__ roast purple sprouting broccoli recipe makes a wonderful sharing starter. Alternatively, serve it as a side with the Sunday roast.","3 tbsp olive oil, plus extra for drizzling
1 medium onion, halved and thinly sliced
4 garlic cloves, sliced
2 pinches chilli flakes
2 fresh rosemary sprigs
2 x 400g tins butter beans, drained and rinsed
300ml good quality vegetable stock
2 medium red onions
400g purple sprouting broccoli
1 tbsp sunflower seeds
1 tbsp pumpkin seeds
Juice ½ lemon","3 tbsp olive oil, plus extra for drizzling
1 medium onion, halved and thinly sliced
4 garlic cloves, sliced
2 pinches chilli flakes
2 fresh rosemary sprigs
2 x 400g tins butter beans, drained and rinsed
300ml good quality vegetable stock
2 medium red onions
400g purple sprouting broccoli
1 tbsp sunflower seeds
1 tbsp pumpkin seeds
Juice ½ lemon",Vegan recipes,,
Root vegetable and lentil tagine,Lentil recipes,https://www.deliciousmagazine.co.uk/collections/lentil-recipes/,Easy,Serves 6,"Hands-on time 20 min, simmering time 20-25 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/03/tagine-768x960.jpg,"Our take on a Moroccan tagine is packed with warming spices, seasonal veg and fibre-rich lentils for a healthy, vegan midweek meal.","1 tbsp light olive oil
About 900g mixed root veg (see tip)
2 tbsp dried harissa spice mix (we used Bart)
Large handful fresh parsley, stalks and leaves chopped separately
200g dried green lentils
2 x 400g tins cherry tomatoes
700ml gluten-free vegetable stock
1 preserved lemon, flesh and pith discarded, peel finely sliced
6 prunes, stoned and quartered
1 small cauliflower, cut into florets, any small leaves reserved
Unsweetened coconut yogurt to serve
Cooked rice or couscous to serve","1 tbsp light olive oil
About 900g mixed root veg (see tip)
2 tbsp dried harissa spice mix (we used Bart)
Large handful fresh parsley, stalks and leaves chopped separately
200g dried green lentils
2 x 400g tins cherry tomatoes
700ml gluten-free vegetable stock
1 preserved lemon, flesh and pith discarded, peel finely sliced
6 prunes, stoned and quartered
1 small cauliflower, cut into florets, any small leaves reserved
Unsweetened coconut yogurt to serve
Cooked rice or couscous to serve",Freezable,Vegan recipes,
Baked falafel in tomato sauce,Healthy vegetarian recipes,https://www.deliciousmagazine.co.uk/collections/healthy-vegetarian-recipes/,Easy,Serves 4,"Hands-on time 15 min, oven time 12-15 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/falafel-recipe-768x960.jpg,A seriously simple supper with the warming spices and comforting aromas of the Eastern Mediterranean. Give this baked falafel dish a go for a vegan take on shakshuka.,"150g pack falafel mix (we used Al__ez from Waitrose, but Sainsbury__ sells a similar one)
Small handful fresh flatleaf parsley, finely chopped
1 tbsp olive oil
1 onion, finely chopped
1 yellow pepper, chopped
1 tbsp harissa paste
50g dried apricots, chopped
400g tin cherry tomatoes
200ml vegetable stock, hot
60g baby leaf spinach
2-3 tbsp tahini","150g pack falafel mix (we used Al__ez from Waitrose, but Sainsbury__ sells a similar one)
Small handful fresh flatleaf parsley, finely chopped
1 tbsp olive oil
1 onion, finely chopped
1 yellow pepper, chopped
1 tbsp harissa paste
50g dried apricots, chopped
400g tin cherry tomatoes
200ml vegetable stock, hot
60g baby leaf spinach
2-3 tbsp tahini",Vegan recipes,,
"Lentil, tomato and paprika soup with crispy kale",Healthy family dinners,https://www.deliciousmagazine.co.uk/collections/healthy-family-dinners/,Easy,Serves 4,"Hands-on time 15 min, simmering time 20 min, oven time 10 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/lentil-soup-768x960.jpg,"Switch up your soup game with our spicy lentil, tomato and paprika recipe served with a garnish of crispy kale.","1 tbsp vegetable oil, plus a splash extra
1 onion, chopped
2 garlic cloves, crushed
1 fresh rosemary sprig
2 tbsp sweet smoked paprika
250g red lentils
400g tin chopped tomatoes
1 litre vegetable stock (from a stock cube)
100g prepared kale
Squeeze of lemon juice
Crusty bread to serve","1 tbsp vegetable oil, plus a splash extra
1 onion, chopped
2 garlic cloves, crushed
1 fresh rosemary sprig
2 tbsp sweet smoked paprika
250g red lentils
400g tin chopped tomatoes
1 litre vegetable stock (from a stock cube)
100g prepared kale
Squeeze of lemon juice
Crusty bread to serve",Dairy-free recipes,Vegan recipes,
